Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
13.86,0.0022,0.0125,0.0291
13.88,-0.038,-0.0028,0.015
13.9,0.0051,-0.0271,0.0353
13.92,-0.0295,-0.0385,0.0231
13.94,-0.0143,-0.0391,0.0114
13.96,0.0134,-0.0173,0.0106
13.98,-0.0045,-0.0332,0.0519
14.0,-0.0221,-0.0358,0.0317
14.02,-0.0175,-0.0245,0.0133
14.04,-0.0017,-0.0277,-0.0355
14.06,-0.0161,-0.0342,0.0214
14.08,0.0508,-0.014,-0.0083
14.1,0.0233,0.0249,0.0236
14.12,0.0307,-0.0424,0.0146
14.14,-0.0172,0.0417,-0.0968
14.16,0.0592,-0.0318,0.0531
14.18,-0.0235,0.001,0.0387
14.2,-0.0014,0.0012,0.0397
14.22,0.0762,0.0214,0.0851
14.24,0.035,-0.029,0.018
14.26,0.049,-0.0146,0.0278
14.28,0.0361,-0.0426,0.0087
14.3,-0.0132,-0.0363,0.0552
14.32,0.0325,-0.0744,0.0174
14.34,-0.0143,0.0011,0.0074
14.36,0.0091,-0.028,0.0043
14.38,0.0392,-0.0158,-0.0171
14.4,0.0543,0.0148,-0.0372
14.42,0.0624,0.0099,0.0369
14.44,0.0272,-0.0367,-0.0126
14.46,0.0051,-0.0171,-0.0432
14.48,0.0442,-0.0232,0.0376
14.5,0.0465,-0.0126,0.0418
14.52,-0.0046,0.0235,0.0381
14.54,0.0212,-0.0134,0.0235
14.56,0.0049,0.0083,0.0635
14.58,0.0069,-0.0302,0.002
14.6,-0.0126,-0.0226,0.0321
14.62,-0.0008,0.0522,0.0103
14.64,0.0119,-0.0108,0.0745
14.66,0.0271,-0.0003,0.0215
14.68,-0.0211,-0.0101,0.0224
14.7,-0.0025,0.0131,-0.018
14.72,0.0638,-0.0435,-0.0106
14.74,-0.0239,-0.0735,0.0004
14.76,0.0409,0.0327,0.0332
14.78,0.0466,-0.0112,0.0162
14.8,-0.0186,-0.0779,0.0269
14.82,0.0435,-0.0226,-0.004
14.84,0.0194,-0.0388,0.0122
14.86,-0.0051,-0.044,-0.0035
14.88,-0.0066,0.0145,-0.0124
14.9,0.0579,-0.0329,-0.0522
14.92,0.0281,-0.0102,0.0064
14.94,-0.0156,-0.038,0.0972
14.96,0.0092,0.0159,0.0213
14.98,-0.0084,-0.0189,-0.024
15.0,0.044,-0.0383,0.026
15.02,-0.0197,-0.0232,0.0096
15.04,-0.0054,-0.0127,0.0656
15.06,0.0311,-0.0588,0.014
15.08,-0.0076,-0.063,0.0083
15.1,0.0313,-0.0273,-0.0513
15.12,0.0334,-0.0674,-0.0135
15.14,-0.005,-0.031,-0.0312
15.16,0.0493,-0.0281,0.0046
15.18,0.0217,0.0101,-0.0004
15.2,0.0078,-0.0358,0.0258
15.22,-0.0306,0.0308,0.0114
15.24,-0.0338,-0.0504,0.0543
15.26,-0.0165,0.0161,0.0278
15.28,0.0397,-0.0329,0.0203
15.3,-0.0429,-0.0241,0.0428
15.32,0.0022,-0.0498,0.0177
15.34,0.0206,-0.0586,0.0459
15.36,0.0411,-0.0273,-0.009
15.38,-0.0297,-0.0076,0.0315
15.4,0.0169,-0.0397,0.0157
15.42,0.025,-0.0242,0.0686
15.44,0.0054,0.0056,0.0207
15.46,-0.0526,-0.0064,0.0014
15.48,-0.0235,0.0286,-0.0083
15.5,0.0275,-0.0462,0.0388
15.52,-0.0157,-0.0312,0.0413
15.54,-0.0159,-0.0055,0.0569
15.56,-0.0263,-0.0009,0.0069
15.58,-0.0139,-0.0441,0.1111
15.6,0.0151,-0.0068,0.0292
15.62,0.0107,-0.0527,0.0156
15.64,-0.0138,-0.0456,0.0115
15.66,0.0156,0.0227,0.0501
15.68,0.042,-0.075,-0.0073
15.7,0.0034,-0.0205,0.0533
15.72,0.0147,-0.0481,0.0027
15.74,-0.0603,-0.0195,0.0235
15.76,-0.006,0.0055,-0.0217
15.78,0.0048,-0.0524,0.0481
15.8,0.0112,0.0081,0.0001
15.82,-0.0219,-0.0305,-0.0347
15.84,0.0172,-0.0565,-0.001
15.86,0.0066,-0.0541,0.0506
15.88,0.0239,-0.0271,0.041
15.9,-0.0229,-0.0178,0.0451
15.92,0.0043,0.0384,0.0021
15.94,-0.0033,-0.0606,0.0172
15.96,-0.0026,-0.0068,0.0153
15.98,-0.0022,0.002,0.0462
16.0,0.0101,0.0402,0.0375
16.02,-0.0015,-0.0087,0.0029
16.04,0.0562,-0.0017,0.0153
16.06,0.0216,-0.0487,0.0187
16.08,0.0461,-0.0223,-0.0299
16.1,0.0552,-0.0251,0.0663
16.12,0.014,-0.021,-0.0238
16.14,-0.0223,-0.089,0.0298
16.16,0.0122,-0.0629,0.0281
16.18,0.0182,0.0055,-0.0594
16.2,-0.0266,-0.0566,0.0027
16.22,0.0383,0.0115,-0.0166
16.24,-0.0053,0.024,0.063
16.26,0.0718,-0.0395,0.005
16.28,-0.0106,0.0167,0.062
16.3,0.0678,0.0299,0.0455
16.32,0.0009,0.002,-0.0141
16.34,0.0093,-0.0296,-0.0201
16.36,-0.0063,0.0252,0.0012
16.38,0.0302,0.0189,0.0057
16.4,-0.028,-0.0236,0.0505
16.42,0.0012,0.0393,0.0052
16.44,-0.0215,0.0229,0.0546
16.46,0.0174,-0.0519,-0.0249
16.48,0.0006,0.0138,0.038
16.5,0.0012,-0.0279,0.045
16.52,0.0163,-0.0639,0.0305
16.54,0.0029,-0.0804,-0.02
16.56,-0.0056,-0.0123,0.0428
16.58,-0.022,-0.0082,0.0112
16.6,0.0037,-0.0242,-0.0585
16.62,-0.0066,-0.0366,0.0796
16.64,-0.0288,0.0004,0.0098
16.66,0.0226,-0.0763,0.0017
16.68,0.0201,-0.0345,0.0251
16.7,0.0024,0.0064,0.0492
16.72,0.0111,-0.007,-0.0136
16.74,-0.032,-0.0457,0.0419
16.76,0.0373,0.0042,0.0113
16.78,0.0229,-0.0388,0.0135
16.8,0.0032,0.0148,0.0449
16.82,0.0275,0.0296,0.0007
16.84,0.038,-0.0155,-0.0077
16.86,0.029,-0.0027,0.0686
16.88,0.0606,-0.0225,0.0044
16.9,0.0108,-0.0491,-0.0076
16.92,0.0179,-0.034,0.0134
16.94,0.021,-0.0724,-0.0504
16.96,-0.0406,-0.0047,-0.0245
16.98,0.0177,-0.0263,0.0431
17.0,-0.0195,0.0031,0.0085
17.02,-0.0249,-0.0238,-0.0303
17.04,-0.016,-0.01,0.0027
17.06,-0.0032,-0.0049,-0.0085
17.08,-0.0197,-0.0191,-0.0041
17.1,0.0272,0.0131,0.0122
17.12,0.0134,-0.0149,0.0041
17.14,-0.0389,-0.0095,0.0072
17.16,0.0081,-0.0341,-0.0046
17.18,-0.0267,-0.0035,0.0203
17.2,0.0128,0.0193,0.0072
17.22,-0.0126,-0.0115,0.0112
17.24,-0.0281,-0.0229,0.0179
17.26,0.0265,-0.0535,-0.02
17.28,0.01,-0.0359,-0.0129
17.3,-0.0533,-0.0321,-0.0223
17.32,0.0128,-0.0287,0.0033
17.34,0.0433,-0.0689,-0.0449
17.36,0.0049,-0.0222,-0.0162
17.38,0.0176,0.0215,-0.0102
17.4,0.0329,-0.0389,0.0063
17.42,0.0685,-0.0325,0.0041
17.44,-0.0393,-0.0502,0.0133
17.46,0.0169,0.0,-0.0331
17.48,-0.0271,-0.0023,0.0014
17.5,0.0089,-0.0108,0.008
17.52,0.0889,-0.0406,-0.0556
17.54,-0.0395,-0.006,0.0047
17.56,0.0013,-0.0327,0.0426
17.58,0.0241,-0.0089,0.0115
17.6,0.0113,-0.0033,0.0337
17.62,0.0151,-0.0707,0.0216
17.64,0.064,-0.0128,-0.0118
17.66,-0.0313,0.0036,-0.023
17.68,0.0726,-0.0077,-0.0724
17.7,-0.0242,-0.0221,-0.0177
17.72,-0.0295,-0.0676,0.0181
17.74,0.0257,0.0017,0.0128
17.76,0.0361,-0.0336,0.0216
17.78,-0.0028,-0.0038,-0.0106
17.8,0.0293,-0.0076,0.0018
17.82,-0.0224,-0.0246,0.0583
17.84,-0.0038,-0.0613,0.0534
17.86,-0.0133,-0.0172,0.0347
17.88,0.0615,0.0116,0.0389
17.9,0.0075,-0.0229,0.0165
17.92,0.0621,-0.0068,-0.0059
17.94,-0.0025,-0.0252,0.0335
17.96,0.0354,-0.0243,0.0392
17.98,-0.0381,0.0399,0.0241
18.0,-0.0388,-0.0638,0.0092
18.02,0.0144,-0.0373,-0.0135
18.04,-0.0035,-0.0597,0.0221
18.06,-0.0104,-0.0168,0.0093
18.08,0.0361,-0.021,0.009
18.1,0.0002,-0.0504,-0.0112
18.12,0.014,0.0313,-0.0044
18.14,0.0502,0.0118,-0.0057
18.16,-0.0154,0.0022,-0.0316
18.18,-0.0169,-0.0139,0.0692
18.2,0.0165,0.0029,-0.0017
18.22,0.025,-0.0074,-0.03
18.24,0.0079,-0.0173,-0.001
18.26,0.0224,-0.0218,-0.0044
18.28,-0.0215,-0.0495,0.0136
18.3,0.0377,-0.0704,0.0286
18.32,-0.0149,-0.0054,-0.016
18.34,-0.0305,-0.0206,0.056
18.36,0.0478,-0.036,0.0076
18.38,0.0162,0.0081,0.1062
18.4,-0.0257,-0.0897,0.0505
18.42,0.0182,-0.0822,0.0757
18.44,0.0147,0.0024,-0.0138
18.46,0.0512,-0.0043,-0.0024
18.48,0.0476,-0.0159,0.0187
18.5,0.0269,0.015,0.0186
18.52,-0.0121,0.0269,0.034
18.54,-0.0164,0.0342,-0.0063
18.56,0.1027,-0.0118,0.027
18.58,0.0359,-0.0281,0.0408
18.6,0.0308,0.0505,0.0197
18.62,0.0302,0.046,-0.0004
18.64,-0.017,-0.0409,-0.0449
18.66,-0.0274,-0.0192,-0.015
18.68,0.0239,-0.0447,0.0337
18.7,-0.0311,-0.028,0.0126
18.72,-0.0021,-0.0181,0.0145
18.74,0.0058,-0.0709,0.0326
18.76,0.0268,-0.0171,0.0505
18.78,-0.0425,-0.0569,0.0401
18.8,0.0237,-0.061,-0.0088
18.82,-0.0173,-0.0587,0.0312
18.84,0.0347,-0.0866,0.003
18.86,-0.0043,0.0006,0.0805
18.88,-0.0318,-0.0124,0.0108
18.9,-0.0059,-0.051,0.0318
18.92,0.004,-0.0294,-0.0074
18.94,0.0068,-0.0015,-0.0073
18.96,-0.0016,0.0116,0.0083
18.98,0.0184,-0.0829,0.0189
19.0,0.0201,-0.042,-0.009
19.02,-0.0357,0.0008,0.0557
19.04,-0.0037,0.0156,0.0034
19.06,-0.0156,-0.0003,-0.0082
19.08,-0.0001,-0.0225,0.0766
19.1,0.0029,-0.0616,0.0315
19.12,-0.0136,0.022,0.0269
19.14,0.0131,-0.0227,-0.024
19.16,-0.0247,-0.0727,0.0114
19.18,-0.0129,-0.0343,0.0097
19.2,0.0633,-0.005,0.0103
19.22,-0.0034,-0.0345,0.0101
19.24,0.0333,0.0275,-0.0065
19.26,-0.0094,-0.082,0.0752
19.28,-0.0567,-0.0749,0.0256
19.3,-0.055,-0.0098,-0.0178
19.32,0.0278,-0.0308,0.0408
19.34,0.0387,-0.0093,0.0687
19.36,0.002,-0.0851,-0.0208
19.38,0.0173,-0.0175,0.0175
19.4,0.0082,-0.0343,0.0146
19.42,-0.0372,-0.0307,0.0358
19.44,0.0019,-0.0518,-0.0159
19.46,0.0552,-0.021,0.0154
19.48,-0.0025,-0.0415,0.0016
19.5,0.0381,-0.1025,0.0573
19.52,0.0546,0.0003,0.0092
19.54,0.0298,-0.0373,0.0433
19.56,0.03,-0.0296,-0.0588
19.58,0.0198,-0.0185,0.0259
19.6,-0.0096,-0.006,-0.0244
19.62,0.0582,-0.0243,-0.0718
19.64,0.021,-0.0453,0.0488
19.66,0.056,-0.0491,0.0157
19.68,0.0205,0.0063,-0.0029
19.7,0.0078,-0.0291,0.0268
19.72,0.0094,0.0014,-0.0054
19.74,-0.0123,-0.0283,0.0192
19.76,-0.0046,-0.0239,0.0556
19.78,0.0669,-0.0029,0.0099
19.8,0.0084,-0.0135,0.0608
19.82,0.031,0.0095,0.0194
19.84,0.0011,-0.0023,0.0458
19.86,0.0479,-0.0307,-0.0328
19.88,0.0048,0.02,-0.0331
19.9,0.0129,-0.0993,0.0614
19.92,-0.0375,-0.0208,0.0249
19.94,0.0415,0.0422,-0.007
19.96,-0.0068,-0.0347,-0.0197
19.98,-0.0102,0.0187,0.0014
20.0,0.0262,-0.0467,0.0238
20.02,0.0216,-0.002,-0.0301
20.04,0.02,0.0123,-0.0104
20.06,0.0161,0.0436,0.0011
20.08,0.0314,0.0009,0.0248
20.1,0.0011,-0.0085,0.0216
20.12,-0.019,-0.008,-0.0369
20.14,0.0159,-0.0081,0.0096
20.16,-0.0366,-0.0339,0.0073
20.18,0.0247,-0.0466,-0.0315
20.2,0.0164,-0.0483,-0.0055
20.22,-0.0327,0.0059,0.0173
20.24,-0.0066,0.0027,-0.02
20.26,-0.011,0.0045,0.0532
20.28,-0.0093,-0.0168,0.0259
20.3,0.0353,-0.0544,-0.0271
20.32,0.0248,-0.0357,0.0517
20.34,-0.0102,-0.0822,0.0615
20.36,-0.015,-0.0426,0.0505
20.38,0.0665,-0.0469,0.0314
20.4,0.0058,-0.0598,0.0024
20.42,0.0674,-0.022,0.0421
20.44,0.0057,-0.06,-0.0312
20.46,0.0024,-0.0295,0.0477
20.48,0.0101,0.0352,-0.0072
20.5,0.021,-0.061,-0.0605
20.52,0.011,-0.0845,0.0619
20.54,-0.0407,-0.032,-0.016
20.56,0.0181,-0.003,0.0192
20.58,0.0066,-0.0073,0.0248
20.6,-0.0305,-0.0363,0.0401
20.62,0.017,0.0294,0.0474
20.64,0.022,0.0614,0.0308
20.66,-0.013,-0.025,-0.0121
20.68,-0.0109,-0.0054,-0.0132
20.7,-0.0287,-0.0758,0.0052
20.72,0.0024,-0.0167,0.02
20.74,-0.0134,-0.0201,0.0069
20.76,0.051,-0.0654,0.0044
20.78,0.036,0.0071,0.0451
20.8,0.0381,-0.0029,0.0126
20.82,0.0223,0.007,0.0321
20.84,-0.0051,-0.0298,0.0607
20.86,0.0342,-0.01,0.0367
20.88,-0.0295,-0.0541,-0.0134
20.9,-0.0021,-0.054,-0.0232
20.92,0.0324,0.0017,0.027
20.94,-0.037,-0.0195,0.0416
20.96,-0.0112,-0.0053,-0.0154
20.98,-0.0273,-0.0448,0.012
21.0,0.0146,-0.0285,0.058
21.02,0.0333,-0.0258,0.0126
21.04,0.0067,-0.0195,0.0167
21.06,-0.0319,-0.0429,0.0673
21.08,0.0057,-0.0089,-0.0233
21.1,-0.0092,0.0261,0.0127
21.12,0.0614,-0.0175,0.0771
21.14,-0.0362,-0.0226,-0.0099
21.16,-0.0207,-0.0188,-0.0274
21.18,-0.04,0.0013,0.0141
21.2,0.0057,-0.0461,0.0206
21.22,-0.007,0.0364,0.0113
21.24,-0.0039,-0.0069,0.0207
21.26,0.0234,-0.0175,0.0454
21.28,-0.0073,0.0111,0.038
21.3,0.0148,-0.0812,0.0509
21.32,-0.04,-0.0287,-0.0308
21.34,-0.0021,0.0036,0.0377
21.36,0.0142,0.0059,0.0264
21.38,0.0408,-0.0025,0.0141
21.4,-0.0057,-0.0595,-0.035
21.42,-0.0368,-0.011,-0.0154
21.44,0.0675,-0.0159,0.0305
21.46,0.0114,-0.0115,-0.0245
21.48,0.0144,-0.1026,-0.013
21.5,-0.0058,-0.0349,0.005
21.52,0.0299,0.0093,0.0534
21.54,0.0277,-0.0339,0.0387
21.56,-0.0535,-0.0305,0.0213
21.58,0.0334,-0.0305,0.0199
21.6,0.0293,-0.0366,0.0378
21.62,0.0215,0.0338,0.021
21.64,-0.0483,-0.014,-0.0079
21.66,0.0088,-0.0223,-0.0058
21.68,0.0452,-0.0329,0.0555
21.7,-0.0014,-0.0128,-0.0156
21.72,-0.0126,0.0449,-0.0329
21.74,0.0073,-0.025,0.0236
21.76,-0.0302,0.0185,0.0136
21.78,-0.0111,-0.0467,-0.0427
21.8,0.0605,0.0131,0.0048
21.82,0.053,0.034,0.0347
21.84,-0.0436,0.0012,0.0447
21.86,0.0116,-0.0027,-0.03
21.88,0.0578,0.0095,0.0286
21.9,0.0253,-0.0094,-0.0209
21.92,-0.0091,0.0197,0.0089
21.94,0.0226,0.0365,0.0351
21.96,0.0136,-0.0074,0.0741
21.98,-0.0389,0.0101,-0.0264
22.0,-0.0068,-0.0538,-0.0331
22.02,0.0444,-0.0036,0.0541
22.04,-0.0343,0.0016,0.0103
22.06,0.0252,0.0393,0.0464
22.08,0.0014,-0.0035,0.0701
22.1,0.0259,-0.0029,0.0138
22.12,0.0065,-0.0493,-0.0002
22.14,0.0071,-0.0342,0.0111
22.16,0.0318,-0.0041,0.015
22.18,-0.0134,0.0096,0.0098
22.2,0.0299,-0.0248,0.0405
22.22,-0.0627,0.0043,-0.0157
22.24,-0.0026,-0.0564,0.0352
22.26,-0.0258,-0.0432,0.0673
22.28,0.0227,-0.0108,0.0089
22.3,-0.0109,-0.0433,0.0371
22.32,0.0357,-0.0378,0.0084
22.34,0.062,-0.0587,0.0045
22.36,0.0223,-0.0746,0.036
22.38,-0.0224,-0.031,0.0102
22.4,-0.0284,-0.0404,0.0621
22.42,-0.0255,-0.0746,0.067
22.44,-0.0056,0.0217,-0.0158
22.46,0.0017,-0.0376,0.0249
22.48,0.0283,-0.022,0.0319
22.5,-0.0087,-0.0352,0.0326
22.52,0.0305,-0.0328,0.0575
22.54,0.0539,-0.0154,-0.0072
22.56,-0.0015,-0.0066,0.0383
22.58,-0.0054,-0.0643,-0.0142
22.6,0.045,0.0221,-0.0437
22.62,0.0268,-0.0258,0.0364
22.64,0.0175,-0.084,0.0035
22.66,0.0162,-0.007,0.0314
22.68,0.0334,-0.0326,0.0378
22.7,0.0019,0.0418,0.0447
22.72,0.0166,0.0228,0.0288
22.74,0.0269,0.0101,0.0328
22.76,-0.0102,-0.0703,0.0343
22.78,0.0145,-0.0374,0.0273
22.8,0.0115,-0.0366,0.0161
22.82,-0.0163,-0.0174,0.056
22.84,-0.0005,-0.0514,0.0009
22.86,0.0295,0.0,0.0343
22.88,0.0342,-0.0235,0.0029
22.9,0.0166,-0.0078,-0.0308
22.92,-0.0074,0.019,-0.0013
22.94,-0.0407,0.0291,0.0491
22.96,0.0698,-0.0161,0.0122
22.98,0.0359,-0.0304,0.0435
23.0,0.0006,-0.0339,0.0046
23.02,0.0545,-0.0085,0.0299
23.04,-0.0088,-0.0589,0.0019
23.06,-0.0124,0.0025,0.0492
23.08,-0.021,-0.0572,0.0542
23.1,-0.0589,-0.0243,-0.0029
23.12,0.0196,-0.0114,0.0299
23.14,0.0045,-0.0487,0.0306
23.16,0.0082,0.0023,0.0587
23.18,-0.01,-0.0229,-0.0081
23.2,0.0314,-0.0388,0.0431
23.22,-0.0057,-0.0105,0.0701
23.24,0.028,-0.0606,-0.0283
23.26,-0.0421,-0.0308,-0.0053
23.28,0.0056,0.0373,0.0354
23.3,-0.0049,0.0223,0.0331
23.32,0.0051,-0.0216,0.0231
23.34,0.0538,-0.0086,0.0492
23.36,0.0247,-0.0193,0.0523
23.38,-0.0063,-0.0131,-0.022
23.4,0.0013,-0.0384,0.0272
23.42,-0.0117,0.03,0.0039
23.44,-0.0194,-0.0727,-0.028
23.46,0.0675,-0.0354,-0.0435
23.48,0.0708,-0.0609,0.002
23.5,0.0073,0.0466,-0.0063
23.52,0.0103,-0.0431,0.0249
23.54,0.0191,-0.0457,0.0153
23.56,-0.007,-0.0368,0.0096
23.58,-0.0104,-0.0139,0.0325
23.6,0.0336,-0.0396,0.0375
23.62,0.0216,-0.0055,-0.0004
23.64,-0.0044,-0.0235,-0.0022
23.66,0.0463,-0.007,-0.0013
23.68,0.0204,0.0122,0.0215
23.7,0.0412,-0.0072,0.0494
23.72,0.0215,-0.0535,0.041
23.74,0.0133,-0.0878,0.0131
23.76,0.0092,-0.0206,0.0215
23.78,-0.0493,0.0221,0.0395
23.8,0.0156,-0.0158,0.0142
23.82,0.0125,0.0047,0.0094
23.84,0.0195,-0.0127,-0.0093
23.86,0.058,-0.0057,-0.0022
23.88,-0.024,-0.0004,-0.0077
23.9,0.0198,0.0048,0.0399
23.92,-0.0047,-0.007,0.0422
23.94,-0.0123,0.0021,-0.0099
23.96,0.0115,0.0031,0.0095
23.98,0.0114,-0.0076,-0.0044
24.0,0.0297,-0.0171,0.0074
24.02,0.0691,0.0091,-0.0136
24.04,0.0087,-0.003,0.0064
24.06,0.0985,-0.0339,0.0605
24.08,0.0222,-0.0112,0.0323
24.1,0.0057,0.0221,0.0469
24.12,0.0161,-0.0412,-0.0043
24.14,0.0345,-0.0189,0.0205
24.16,-0.0372,-0.0511,0.0234
24.18,0.0264,-0.0291,0.021
24.2,-0.0052,0.0371,0.0297
24.22,-0.0167,-0.0102,0.0558
24.24,0.0526,-0.0021,-0.0381
24.26,0.0508,-0.0089,0.0607
24.28,0.0181,-0.0553,0.0062
24.3,-0.011,-0.1038,0.0036
24.32,0.0326,-0.0115,-0.0024
24.34,0.0006,-0.0771,-0.0142
24.36,0.0037,0.0157,-0.018
24.38,0.0094,-0.0279,-0.0063
24.4,0.0063,-0.0193,0.0248
24.42,0.0036,-0.0204,0.0581
24.44,0.0244,-0.0687,0.0468
24.46,0.0354,0.013,0.0177
24.48,0.0585,-0.0145,0.0007
24.5,-0.0234,0.0134,0.001
24.52,0.043,0.058,-0.0061
24.54,0.0317,-0.0775,0.0234
24.56,0.0062,-0.058,0.009
24.58,0.0076,-0.0173,-0.002
24.6,-0.0164,-0.0154,0.02
24.62,0.0079,-0.0345,0.0133
24.64,-0.0048,-0.0357,0.0288
24.66,0.0039,-0.0308,0.0238
24.68,0.0248,-0.0303,-0.0528
24.7,-0.01,-0.0675,0.0434
24.72,0.0937,-0.0018,0.0232
24.74,-0.0534,-0.0283,-0.0326
24.76,0.0449,-0.0014,0.0107
24.78,-0.0081,-0.0295,0.0347
24.8,0.03,-0.0563,0.0441
24.82,-0.015,-0.0393,-0.0038
24.84,0.0697,-0.0182,0.0295
24.86,0.0088,0.0137,-0.0155
24.88,0.0092,-0.0242,-0.0076
24.9,-0.0075,-0.0224,0.0226
24.92,0.0158,-0.0192,-0.0218
24.94,-0.0339,-0.0131,0.0407
24.96,0.0514,0.0413,0.0267
24.98,0.0433,-0.107,-0.0429
25.0,-0.041,-0.0325,0.0376
25.02,-0.0155,-0.0196,0.044
25.04,0.0362,-0.0056,0.0053
25.06,-0.0077,-0.0269,-0.0099
25.08,0.029,-0.0298,0.0192
25.1,0.0305,0.0071,0.0282
25.12,0.019,0.0067,0.0487
25.14,-0.0009,-0.0327,0.0218
25.16,0.0095,-0.0106,0.003
25.18,-0.0317,-0.0405,0.0058
25.2,0.0191,-0.0125,-0.0303
25.22,-0.0121,-0.0274,0.0028
25.24,0.0423,0.0529,0.0169
25.26,0.0054,0.0036,-0.0183
25.28,0.0066,-0.023,0.0237
25.3,-0.0119,0.0086,0.0711
25.32,0.0191,0.0465,0.0167
25.34,-0.0474,-0.0347,-0.0059
25.36,0.0153,-0.0372,0.0801
25.38,0.0171,-0.0314,0.0579
25.4,0.0587,-0.0098,0.0265
25.42,0.0483,-0.0444,0.0507
25.44,-0.0021,-0.077,-0.0005
25.46,-0.0075,-0.0076,0.0145
25.48,0.0177,-0.0238,0.0216
25.5,0.0318,-0.0089,0.0061
25.52,0.0368,-0.014,-0.0279
25.54,0.0023,-0.045,-0.0163
25.56,0.0344,-0.0261,-0.0342
25.58,0.0521,-0.0389,-0.0227
25.6,0.0077,-0.0149,0.0151
25.62,0.016,-0.0281,-0.0402
25.64,-0.0275,-0.0255,-0.0208
25.66,0.0089,-0.0116,-0.0281
25.68,0.0149,-0.0787,-0.0409
25.7,0.0301,-0.0273,0.06
25.72,-0.003,-0.0063,0.0098
25.74,-0.0218,-0.041,0.0624
25.76,0.012,-0.0129,0.0357
25.78,0.0733,-0.0846,-0.0129
25.8,-0.0318,-0.0412,0.0376
25.82,0.004,-0.062,0.0221
25.84,-0.0184,-0.0338,0.0176
25.86,0.0528,-0.0203,0.0488
25.88,0.0126,-0.0568,0.0493
25.9,0.0149,0.0038,0.0536
25.92,0.0116,-0.0695,0.01
25.94,0.0016,-0.0226,-0.0278
25.96,0.0043,-0.055,-0.002
25.98,0.0111,-0.0536,0.0278
26.0,-0.0064,0.0039,0.042
26.02,0.0112,-0.0102,0.0377
26.04,-0.0482,0.0225,-0.0004
26.06,0.0089,-0.0629,-0.0027
26.08,0.0578,0.0454,0.027
26.1,0.0074,-0.0707,0.0257
26.12,0.0183,-0.0659,-0.0016
26.14,0.0099,-0.0408,-0.0428
26.16,0.03,-0.0085,-0.0533
26.18,0.0071,0.0113,0.0157
26.2,-0.007,-0.022,-0.0069
26.22,-0.0452,0.0029,0.0337
26.24,0.021,0.0093,0.0029
26.26,0.0024,-0.0017,-0.0056
26.28,0.037,-0.0044,0.0264
26.3,0.0105,-0.0114,0.0072
26.32,0.0426,-0.0067,-0.016
26.34,0.0304,-0.0566,-0.0333
26.36,-0.0236,-0.021,0.05
26.38,-0.0288,-0.0761,0.043
26.4,0.0434,-0.0387,-0.0096
26.42,-0.0003,0.0113,0.0231
26.44,-0.02,-0.0712,0.0216
26.46,0.0158,-0.0198,0.0258
26.48,0.0427,-0.0296,0.0162
26.5,-0.0254,-0.0321,0.0051
26.52,0.0116,0.0098,0.0224
26.54,-0.002,-0.0234,0.0486
26.56,0.0297,-0.0488,0.0308
26.58,0.0441,0.0112,-0.014
26.6,0.0497,-0.0168,0.0353
26.62,0.0122,-0.0193,0.0418
26.64,-0.0754,-0.0084,-0.0076
26.66,0.0033,-0.058,0.0337
26.68,0.0149,-0.0801,0.024
26.7,0.0539,-0.0425,0.039
26.72,0.0007,-0.0579,0.0194
26.74,-0.0208,0.0067,-0.0253
26.76,-0.0554,-0.0073,0.0191
26.78,-0.0438,-0.0644,0.0033
26.8,0.0083,-0.0344,-0.0141
26.82,-0.0125,-0.0028,-0.0322
26.84,0.0397,0.0017,-0.0553
26.86,-0.0179,-0.0126,-0.0398
26.88,-0.003,0.0271,-0.0122
26.9,0.039,-0.0646,-0.034
26.92,0.0566,-0.0189,0.0112
26.94,0.0712,-0.0272,0.0339
26.96,-0.0164,-0.0119,-0.0246
26.98,0.0598,-0.0617,-0.0197
27.0,0.0222,-0.0857,0.0689
27.02,-0.0262,-0.0461,0.0215
27.04,0.0466,0.0147,0.0428
27.06,0.0053,-0.0206,0.0158
27.08,-0.0484,0.016,-0.0381
27.1,0.0286,-0.0444,0.0366
27.12,0.0289,-0.0053,0.0562
27.14,0.0113,-0.0173,0.0195
27.16,0.0368,0.0203,0.0346
27.18,0.0157,-0.0046,0.0113
27.2,-0.0429,-0.0655,0.0034
27.22,-0.0082,-0.0565,-0.01
27.24,-0.0145,-0.0172,-0.0175
27.26,0.0535,-0.0573,-0.019
27.28,0.0371,-0.0738,0.0315
27.3,-0.0117,-0.0352,0.0022
27.32,0.0202,-0.0246,0.016
27.34,0.0195,-0.024,0.0188
27.36,0.0244,-0.0325,-0.0178
27.38,0.0446,0.0198,0.0537
27.4,-0.0167,-0.0444,0.0166
27.42,-0.0025,0.0011,-0.0107
27.44,-0.0095,-0.0402,0.0236
27.46,0.02,-0.0063,0.0171
27.48,-0.0061,0.0352,0.0364
27.5,-0.0061,0.0155,0.0027
27.52,-0.0053,0.0151,-0.0024
27.54,-0.019,-0.0428,0.054
27.56,0.0347,0.0275,-0.0029
27.58,0.0036,-0.019,0.0155
27.6,0.0672,0.0228,0.0625
27.62,-0.0238,-0.0665,0.0238
27.64,-0.0523,-0.0397,-0.0172
27.66,0.0526,0.0064,0.0899
27.68,0.0269,0.0282,0.0682
27.7,-0.0452,-0.0017,0.0255
